n,r,m
review period,spanning to,9 June 2021
review period,lasted from,27 January
review period,from date,11 March 2021
review period,observed changes until,9 June 2021
review period,has time frame from,10 March
review period,Price in peak rate of,3 point 8percent
review period,to date,9 June 2021
review period,Duration From,4 November 2020
review period,Duration To,26 January 2021
review period,observed changes from,11 March
review period,has time frame until,8 June 2022
EuroSTR,average points,56 basis points
EuroSTR,average during,review period
EuroSTR,averaged,58 basis points
EuroSTR,is also known as,new benchmark euro short term rate
EuroSTR,inelasticity in response to,high level of excess liquidity
EuroSTR,remained stable during,seventh maintenance period
EuroSTR,remained stable during,eighth maintenance period
EuroSTR,state with,high level of excess liquidity
EuroSTR,remained unchanged during,first two maintenance periods
EuroSTR,changed compared to,EuroSTR stable
excess liquidity,reflects,difference between the total liquidity provided to the banking system and banks liquidity needs
excess liquidity,reflects,total liquidity provided
excess liquidity,during,review period
excess liquidity,driven by,APP
excess liquidity,driven by,net asset purchases
excess liquidity,driven by,tender operations
excess liquidity,driven by,credit operations
excess liquidity,driven by,outright purchases
excess liquidity,is,sum of banks reserves above the reserve requirement and the recourse to the deposit facility net of any recourse to the marginal lending facility
excess liquidity,increase in,first two maintenance periods of 2020
excess liquidity,increased by,Euro143 billion
excess liquidity,increased by,Euro105 billion
excess liquidity,and,deposit facility
excess liquidity,and,banks liquidity needs
excess liquidity,peaked in,September 2022
excess liquidity,amount after decrease,Euro1770 billion
excess liquidity,declined in,euro area banking system
excess liquidity,total amount,Euro3537 billion
excess liquidity,increase offset by,autonomous factors
excess liquidity,increase offset by,voluntary repayments
excess liquidity,increased in,Eurosystems deposit facility
excess liquidity,increase by,246 billion
excess liquidity,increase amount,Euro86 billion
excess liquidity,increase amount,516 billion
excess liquidity,total amount at end of,review period
excess liquidity,increase cause,pandemic emergency purchase programme
excess liquidity,increase cause,asset purchase programme
excess liquidity,curtailed by,early repayments
excess liquidity,increase reflected by,securities
excess liquidity,increase reflected by,securities held for monetary policy purposes
excess liquidity,increased by amount,Euro241 billion
excess liquidity,constitutes,deposit facility
excess liquidity,constitutes,banks reserves
excess liquidity,increased during,review period
excess liquidity,peak level,excess liquidity peak level
excess liquidity,Affected by,asset purchases
excess liquidity,total after increase,2011 billion
excess liquidity,amount decreased by,Euro22 billion
excess liquidity,surmised amount after increase,Euro3692 billion
excess liquidity,Decreased by,Euro358 billion
excess liquidity,avoidance of,excess holdings of reserves
excess liquidity,decrease caused by,TLTRO III early repayments
excess liquidity,decrease in period,review period
excess liquidity,Increased by,the review period
excess liquidity,sources include,pandemic emergency purchase programme PEPP
excess liquidity,sources include,public sector purchase programme PSPP
excess liquidity,sources include,additional LTROs
excess liquidity,Total amount after increase,the review period
excess liquidity,reflects difference between,total liquidity
excess liquidity,amount after increase,total amount excess liquidity
excess liquidity,is a sum of,banks reserves
excess liquidity,increased by during period,review period
pandemic emergency purchase programme,part of,Eurosystems net purchases
pandemic emergency purchase programme,status,net monetary outflows
pandemic emergency purchase programme,is associated with,reinvestment plan
pandemic emergency purchase programme,increase by,Euro87 billion
pandemic emergency purchase programme,also known as,PEPP
pandemic emergency purchase programme,equivalent to,PEPP
pandemic emergency purchase programme,is also known as,PEPP
pandemic emergency purchase programme,contributed to increase of,excess liquidity
pandemic emergency purchase programme,has total envelope,1850 billion
asset purchase programme,status,net monetary outflows
asset purchase programme,increase by,Euro87 billion
asset purchase programme,also known as,APP
asset purchase programme,contributed to increase of,excess liquidity
asset purchase programme,cause for increase,excess liquidity
asset purchase programme,Had largest increase in purchases,PEPP
autonomous factors,related to,net foreign assets
autonomous factors,related to,net assets denominated in euro
autonomous factors,related to,context
autonomous factors,presented in,document
autonomous factors,presented in the form of,overview
autonomous factors,changes can be found in,Table A
autonomous factors,presented as,overview
autonomous factors,overview can be found in,Table A
voluntary repayments,related to,TLTRO II operations
voluntary repayments,associated with,targeted longer term refinancing operations
voluntary repayments,amounted to,Euro60 point 2 billion
voluntary repayments,amount repaid from,earlier TLTRO III operations
TLTRO III operations,operations conducted during,review period
flattened,removal of,prior inversion
current forward curve,does not suggest,firm market expectations
firm market expectations,of,imminent rate cut
EONIA forward rates,for,horizons up to 2028
EONIA forward rates,remain,below zero
below zero,reflect,continued market expectations
continued market expectations,of,prolonged period of negative interest rates
GDP weighted euro area ten year sovereign bond yield,associated with,euro area
GDP weighted euro area ten year sovereign bond yield,decreased by,33 basis points
GDP weighted euro area ten year sovereign bond yield,increased by,14 basis points
GDP weighted euro area ten year sovereign bond yield,increased by,36 basis points
